 close, high, low, open, volume,Date,Ticker
,,,,,2005-08-31,BURL
,,,,,2005-09-30,BURL
,,,,,2005-10-31,BURL
,,,,,2005-11-30,BURL
,,,,,2005-12-30,BURL
,,,,,2006-01-31,BURL
,,,,,2006-02-28,BURL
,,,,,2006-03-31,BURL
,,,,,2006-04-28,BURL
,,,,,2006-05-31,BURL
,,,,,2006-06-30,BURL
,,,,,2006-07-31,BURL
,,,,,2006-08-31,BURL
,,,,,2006-09-29,BURL
,,,,,2006-10-31,BURL
,,,,,2006-11-30,BURL
,,,,,2006-12-29,BURL
,,,,,2007-01-31,BURL
,,,,,2007-02-28,BURL
,,,,,2007-03-30,BURL
,,,,,2007-04-30,BURL
,,,,,2007-05-31,BURL
,,,,,2007-06-29,BURL
,,,,,2007-07-31,BURL
,,,,,2007-08-31,BURL
,,,,,2007-09-28,BURL
,,,,,2007-10-31,BURL
,,,,,2007-11-30,BURL
,,,,,2007-12-31,BURL
,,,,,2008-01-31,BURL
,,,,,2008-02-29,BURL
,,,,,2008-03-31,BURL
,,,,,2008-04-30,BURL
,,,,,2008-05-30,BURL
,,,,,2008-06-30,BURL
,,,,,2008-07-31,BURL
,,,,,2008-08-29,BURL
,,,,,2008-09-30,BURL
,,,,,2008-10-31,BURL
,,,,,2008-11-28,BURL
,,,,,2008-12-31,BURL
,,,,,2009-01-30,BURL
,,,,,2009-02-27,BURL
,,,,,2009-03-31,BURL
,,,,,2009-04-30,BURL
,,,,,2009-05-29,BURL
,,,,,2009-06-30,BURL
,,,,,2009-07-31,BURL
,,,,,2009-08-31,BURL
,,,,,2009-09-30,BURL
,,,,,2009-10-30,BURL
,,,,,2009-11-30,BURL
,,,,,2009-12-31,BURL
,,,,,2010-01-29,BURL
,,,,,2010-02-26,BURL
,,,,,2010-03-31,BURL
,,,,,2010-04-30,BURL
,,,,,2010-05-28,BURL
,,,,,2010-06-30,BURL
,,,,,2010-07-30,BURL
,,,,,2010-08-31,BURL
,,,,,2010-09-30,BURL
,,,,,2010-10-29,BURL
,,,,,2010-11-30,BURL
,,,,,2010-12-31,BURL
,,,,,2011-01-31,BURL
,,,,,2011-02-28,BURL
,,,,,2011-03-31,BURL
,,,,,2011-04-29,BURL
,,,,,2011-05-31,BURL
,,,,,2011-06-30,BURL
,,,,,2011-07-29,BURL
,,,,,2011-08-31,BURL
,,,,,2011-09-30,BURL
,,,,,2011-10-31,BURL
,,,,,2011-11-30,BURL
,,,,,2011-12-30,BURL
,,,,,2012-01-31,BURL
,,,,,2012-02-29,BURL
,,,,,2012-03-30,BURL
,,,,,2012-04-30,BURL
,,,,,2012-05-31,BURL
,,,,,2012-06-29,BURL
,,,,,2012-07-31,BURL
,,,,,2012-08-31,BURL
,,,,,2012-09-28,BURL
,,,,,2012-10-31,BURL
,,,,,2012-11-30,BURL
