 close, high, low, open, volume,Date,Ticker
87.2500,89.6300,84.5000,87.5000,3054000,1998-02-27,GD
86.2500,91.5000,84.8800,86.6300,3517500,1998-03-31,GD
42.6900,89.6300,40.2500,85.8800,7177500,1998-04-30,GD
44.4400,48.3800,40.6900,42.2500,6794000,1998-05-29,GD
46.5000,46.8100,43.0600,44.4400,4962700,1998-06-30,GD
47.5600,49.4400,43.1900,46.5000,4472900,1998-07-31,GD
47.5600,49.3800,42.8800,47.0000,6529500,1998-08-31,GD
50.2500,55.0000,44.0600,47.3100,7972800,1998-09-30,GD
59.5000,60.0600,49.2500,50.0000,9486800,1998-10-30,GD
58.2500,62.0000,57.0000,60.0000,5822500,1998-11-30,GD
59.0000,61.0000,52.1300,58.3800,7040800,1998-12-31,GD
58.3800,60.7500,53.0000,59.7500,6429800,1999-01-29,GD
60.4400,62.4400,56.8100,58.5000,6882300,1999-02-26,GD
64.2500,64.9400,57.9400,60.1900,7235500,1999-03-31,GD
70.2500,72.5600,63.4400,63.5000,8753200,1999-04-30,GD
65.7500,75.4400,63.2500,70.3100,15606000,1999-05-28,GD
68.8800,70.0000,62.9400,66.5000,18358000,1999-06-30,GD
67.3100,70.9400,65.5000,68.7500,14025400,1999-07-30,GD
63.0000,67.2500,59.6900,64.7500,16037700,1999-08-31,GD
62.4400,64.4400,59.1900,64.3800,11050900,1999-09-30,GD
55.4400,63.0000,52.0000,62.1900,15969300,1999-10-29,GD
51.5600,56.4400,50.1300,55.3100,13329500,1999-11-30,GD
52.7500,53.2500,46.1900,52.1300,18766400,1999-12-31,GD
47.1300,57.5600,45.3800,52.1200,20302900,2000-01-31,GD
43.2500,49.4400,40.8800,47.2500,19304800,2000-02-29,GD
49.7500,51.4400,36.2500,43.2500,23041100,2000-03-31,GD
58.5000,59.9400,48.0000,50.0000,21166200,2000-04-28,GD
59.0600,60.0000,54.5600,57.0600,14467800,2000-05-31,GD
52.2500,61.1900,51.9400,58.8100,14176000,2000-06-30,GD
56.4400,59.9400,51.8800,52.3800,11035100,2000-07-31,GD
62.9400,64.8100,56.5600,56.6900,13258200,2000-08-31,GD
62.8100,64.9400,60.3800,62.3800,21821800,2000-09-29,GD
71.5600,71.6900,58.7500,62.9400,31372600,2000-10-31,GD
76.2500,76.6300,68.2500,71.3100,21412200,2000-11-30,GD
78.0000,79.0000,68.5000,74.7500,22165500,2000-12-29,GD
70.9800,78.1900,65.3800,78.1900,21911200,2001-01-31,GD
68.1800,71.0500,65.0000,71.0000,18571600,2001-02-28,GD
62.7400,72.5500,60.5000,68.0000,23218400,2001-03-30,GD
77.0800,78.0000,62.9500,62.9900,25477300,2001-04-30,GD
77.5200,84.2800,75.9000,77.1000,26366600,2001-05-31,GD
77.8100,80.2800,72.5000,77.9000,16510600,2001-06-29,GD
80.8900,85.2000,73.7600,77.0000,18984800,2001-07-31,GD
78.9600,85.4800,78.8000,80.7500,18390200,2001-08-31,GD
88.3200,90.2000,75.1000,78.9500,28845700,2001-09-28,GD
81.6000,96.0000,79.4500,88.3200,45855000,2001-10-31,GD
83.1500,86.0500,76.4500,81.5000,25202100,2001-11-30,GD
79.6400,83.9500,75.6000,83.1500,24059900,2001-12-31,GD
89.5600,89.8900,75.2000,79.5000,33545600,2002-01-31,GD
90.8800,93.7500,85.3900,91.0500,25923200,2002-02-28,GD
93.9500,96.8000,86.5000,91.4500,28338900,2002-03-28,GD
97.0900,98.5000,91.0100,96.8000,29000700,2002-04-30,GD
100.6000,102.5000,96.5700,96.7500,22384500,2002-05-31,GD
106.4000,111.2000,97.1100,100.9000,33430800,2002-06-28,GD
80.9200,108.8000,78.2000,107.2000,55651600,2002-07-31,GD
78.6400,85.3000,73.2500,80.9200,48830200,2002-08-30,GD
81.3300,88.0200,74.0600,78.0000,42456200,2002-09-30,GD
79.1300,85.4000,74.0800,81.3300,42605700,2002-10-31,GD
81.4500,84.5800,76.9000,78.9000,29205300,2002-11-29,GD
79.3700,83.9600,76.6200,81.4900,25902300,2002-12-31,GD
66.1400,81.8000,63.3600,79.3700,55483200,2003-01-31,GD
59.2600,66.8000,58.4000,66.1500,27729700,2003-02-28,GD
55.0700,60.5400,50.0000,60.5400,59039500,2003-03-31,GD
62.0700,62.8600,52.2000,55.0700,44951900,2003-04-30,GD
66.8200,67.1700,59.6500,62.0700,38383200,2003-05-30,GD
72.5000,77.5200,66.5000,67.5500,39644100,2003-06-30,GD
79.3400,80.4400,72.2000,72.5100,27057400,2003-07-31,GD
86.1100,86.1500,77.1100,79.5200,18341400,2003-08-29,GD
78.0600,87.4500,75.5900,86.3000,25922700,2003-09-30,GD
83.7000,86.0000,77.9400,78.0600,21618900,2003-10-31,GD
80.8700,84.9400,78.8200,83.7500,13594200,2003-11-28,GD
90.3900,90.8000,80.5100,80.8000,15969700,2003-12-31,GD
91.4300,94.6500,88.5000,90.0400,21056300,2004-01-30,GD
92.1200,97.0000,90.2000,92.0000,17717900,2004-02-27,GD
89.3300,92.4400,84.9600,92.3800,21686100,2004-03-31,GD
93.6200,95.6200,89.4000,89.8100,14989200,2004-04-30,GD
95.6300,95.7600,90.6100,93.5900,18440000,2004-05-28,GD
99.3000,100.7800,94.9400,95.4000,15959500,2004-06-30,GD
98.8200,101.9400,95.6300,98.9200,16986800,2004-07-30,GD
97.6400,100.3000,93.6180,98.8300,11274300,2004-08-31,GD
102.1000,102.7700,96.5000,97.7200,14310600,2004-09-30,GD
102.1200,103.6200,96.2500,102.8500,15544900,2004-10-29,GD
108.3600,109.9800,99.9500,102.1500,17725900,2004-11-30,GD
104.6000,109.9000,103.5000,108.8000,14086400,2004-12-31,GD
103.2500,105.4800,97.5900,105.3800,28768600,2005-01-31,GD
105.3500,107.3400,102.4500,103.1200,13055900,2005-02-28,GD
107.0500,109.9600,104.2500,105.3500,19676400,2005-03-31,GD
105.0500,108.9800,100.7200,107.2000,21867200,2005-04-29,GD
107.9800,108.5900,104.0100,105.0600,16058300,2005-05-31,GD
109.5400,112.8900,107.5400,107.9800,15866400,2005-06-30,GD
115.1900,117.6200,107.3100,109.8000,17532600,2005-07-29,GD
114.5900,116.7800,112.6500,115.1200,12592300,2005-08-31,GD
119.5500,120.7700,113.5700,114.6500,15801800,2005-09-30,GD
116.3000,122.2700,114.3000,119.5600,16891300,2005-10-31,GD
114.3000,119.3800,114.1000,115.8500,14804600,2005-11-30,GD
114.0500,116.2500,110.1700,114.7500,20990000,2005-12-30,GD
116.3600,119.8900,113.3500,114.9500,15661200,2006-01-31,GD
123.2700,125.3100,114.3800,115.0500,17780800,2006-02-28,GD
63.9800,131.9000,63.8500,125.7500,24311250,2006-03-31,GD
65.6200,69.6200,63.2800,64.2300,30360100,2006-04-28,GD
63.6400,69.2100,61.6900,65.7500,33621400,2006-05-31,GD
65.4600,66.7800,62.1900,63.7400,30648000,2006-06-30,GD
